ano_trabajo;título profesional;Categoría de Trabajo;moneda_salario;salario;salario_en_usd;residencia_empleado;nivel_de_experiencia;Tipo_de_empleo;escenario _de_trabajo;Ubicación_de_la_compañía;tamaño de la empresa
2020;Ingeniero de datos;Ingeniería de datos;EUR;65000;74130;Austria;Nivel medio;Full-time;Híbrido;Austria;L
2020;Científico de datos;Investigación y ciencia de datos;EUR;80000;91237;Austria;Senior;Full-time;En persona;Austria;S
2020;Gerente de aprendizaje automático;Aprendizaje automático e IA;CAD;157000;117104;Canada;Senior;Full-time;Híbrido;Canada;L
2020;Analista de datos del personal;Análisis de los datos;CAD;60000;44753;Canada;Nivel Básico;Contract;Híbrido;Canada;L
2020;Analista de datos del personal;Análisis de los datos;USD;15000;15000;Nigeria;Ejecutivo;Full-time;En persona;Canada;M
2020;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;EUR;40000;45618;Croacia;Senior;Full-time;Remoto;Croacia;S
2020;Científico de IA;Aprendizaje automático e IA;DKK;300000;45896;Dinamarca;Nivel Básico;Full-time;Híbrido;Dinamarca;S
2020;Analista de datos;Análisis de los datos;EUR;41000;46759;Francia;Nivel medio;Full-time;Híbrido;Francia;L
2020;Ingeniero de datos;Ingeniería de datos;EUR;61500;70139;Francia;Nivel medio;Full-time;Híbrido;Francia;L
2020;Científico de datos;Investigación y ciencia de datos;EUR;45000;51321;Francia;Nivel Básico;Full-time;En persona;Francia;S
2020;Científico de datos;Investigación y ciencia de datos;EUR;35000;39916;Francia;Nivel Básico;Full-time;En persona;Francia;M
2020;Científico de datos;Investigación y ciencia de datos;EUR;37000;42197;Francia;Nivel medio;Full-time;Híbrido;Francia;S
2020;Analista de datos;Análisis de los datos;EUR;42000;47899;Alemania;Nivel Básico;Full-time;En persona;Alemania;L
2020;Ingeniero de datos;Ingeniería de datos;EUR;51999;59303;Alemania;Nivel medio;Full-time;Remoto;Alemania;S
2020;Científico de datos;Investigación y ciencia de datos;EUR;43200;49268;Alemania;Nivel Básico;Full-time;En persona;Alemania;S
2020;Científico de datos;Investigación y ciencia de datos;EUR;70000;79833;Alemania;Nivel medio;Full-time;En persona;Alemania;L
2020;Científico de datos;Investigación y ciencia de datos;EUR;55000;62726;Alemania;Nivel Básico;Full-time;Híbrido;Alemania;S
2020;Ingeniero ML;Aprendizaje automático e IA;EUR;14000;15966;Alemania;Nivel Básico;Part-time;Remoto;Alemania;S
2020;Científico de datos principal;Investigación y ciencia de datos;EUR;130000;148261;Alemania;Senior;Full-time;Remoto;Alemania;M
2020;Ingeniero de datos;Ingeniería de datos;EUR;48000;54742;Pakistán;Nivel Básico;Full-time;Remoto;Alemania;L
2020;Ingeniero de datos;Ingeniería de datos;EUR;42000;47899;Grecia;Senior;Full-time;Híbrido;Grecia;L
2020;Analista de datos de producto;Análisis de los datos;USD;20000;20000;Honduras;Nivel medio;Full-time;En persona;Honduras;S
2020;Ingeniero de datos Azure;Ingeniería de datos;USD;100000;100000;Isla Mauricio;Nivel Básico;Full-time;En persona;Isla Mauricio;S
2020;Científico de datos;Investigación y ciencia de datos;EUR;19000;21669;Italia;Nivel Básico;Part-time;Híbrido;Italia;S
2020;Científico de aprendizaje automático;Aprendizaje automático e IA;USD;260000;260000;Japón;Senior;Full-time;En persona;Japón;S
2020;Científico de datos;Investigación y ciencia de datos;EUR;55000;62726;Francia;Nivel medio;Full-time;Híbrido;Luxemburgo;S
2020;Científico de investigación;Investigación y ciencia de datos;USD;42000;42000;Países Bajos;Nivel Básico;Full-time;Híbrido;Países Bajos;L
2020;Ingeniero líder de datos;Ingeniería de datos;USD;125000;125000;Nueva Zelanda;Senior;Full-time;Híbrido;Nueva Zelanda;S
2020;Analista de datos de ventas;Análisis de los datos;USD;60000;60000;Nigeria;Nivel medio;Contract;En persona;Nigeria;M
2020;Analista de datos;Análisis de los datos;EUR;20000;22809;Portugal;Nivel Básico;Full-time;Remoto;Portugal;M
2020;Ingeniero de Infraestructura de Aprendizaje Automático;Aprendizaje automático e IA;EUR;44000;50180;Portugal;Nivel medio;Full-time;En persona;Portugal;M
2020;Ingeniero de datos;Ingeniería de datos;EUR;70000;79833;España;Ejecutivo;Full-time;Híbrido;España;L
2020;Científico de datos;Investigación y ciencia de datos;EUR;34000;38776;España;Nivel medio;Full-time;Remoto;España;M
2020;Científico de datos principal;Investigación y ciencia de datos;USD;115000;115000;Emiratos Árabes Unidos;Nivel medio;Full-time;En persona;Emiratos Árabes Unidos;L
2020;Ingeniero de big data;Ingeniería de datos;EUR;100000;114047;Polonia;Senior;Full-time;Remoto;Reino Unido;S
2020;Ingeniero de datos;Ingeniería de datos;GBP;88000;112872;Reino Unido;Nivel medio;Full-time;Híbrido;Reino Unido;L
2020;Científico de datos;Investigación y ciencia de datos;GBP;60000;76958;Reino Unido;Nivel medio;Full-time;Remoto;Reino Unido;S
2020;Ingeniero de big data;Ingeniería de datos;GBP;85000;109024;Reino Unido;Senior;Full-time;Híbrido;Reino Unido;M
2020;Científico de datos;Investigación y ciencia de datos;EUR;60000;68428;Grecia;Senior;Full-time;Remoto;Estados Unidos;L
2020;Científico de datos;Investigación y ciencia de datos;USD;45760;45760;Filipinas;Nivel medio;Full-time;Remoto;Estados Unidos;S
2020;Ingeniero líder de datos;Ingeniería de datos;USD;56000;56000;Portugal;Nivel medio;Full-time;Remoto;Estados Unidos;M
2020;Ingeniero en Visión por Computador;Aprendizaje automático e IA;USD;60000;60000;Russia;Senior;Freelance;Remoto;Estados Unidos;S
2020;Ingeniero de datos;Ingeniería de datos;USD;130800;130800;España;Nivel medio;Full-time;Remoto;Estados Unidos;M
2020;Analista de datos BI;Análisis de los datos;USD;98000;98000;Estados Unidos;Nivel medio;Full-time;En persona;Estados Unidos;M
2020;Analista de datos empresariales;Análisis de los datos;USD;95000;95000;Estados Unidos;Nivel medio;Full-time;En persona;Estados Unidos;M
2020;Analista de datos empresariales;Análisis de los datos;USD;135000;135000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2020;Analista de datos empresariales;Análisis de los datos;USD;100000;100000;Estados Unidos;Nivel Básico;Contract;Remoto;Estados Unidos;L
2020;Analista de datos;Análisis de los datos;USD;91000;91000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;L
2020;Analista de datos;Análisis de los datos;USD;72000;72000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;L
2020;Analista de datos;Análisis de los datos;USD;85000;85000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2020;Ingeniero de datos;Ingeniería de datos;USD;106000;106000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2020;Ingeniero de datos;Ingeniería de datos;USD;188000;188000;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;L
2020;Ingeniero de datos;Ingeniería de datos;USD;110000;110000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2020;Consultor de ciencias de datos;Investigación y ciencia de datos;USD;103000;103000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2020;Gerente de ciencia de datos;Investigación y ciencia de datos;USD;190200;190200;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;M
2020;Científico de datos;Investigación y ciencia de datos;USD;105000;105000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2020;Científico de datos;Investigación y ciencia de datos;USD;120000;120000;Estados Unidos;Senior;Full-time;Híbrido;Estados Unidos;L
2020;Científico de datos;Investigación y ciencia de datos;USD;118000;118000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;M
2020;Científico de datos;Investigación y ciencia de datos;USD;138350;138350;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;M
2020;Científico de datos;Investigación y ciencia de datos;USD;412000;412000;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;L
2020;Científico de datos;Investigación y ciencia de datos;USD;105000;105000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;S
2020;Director de Ciencia de Datos;Investigación y ciencia de datos;USD;325000;325000;Estados Unidos;Ejecutivo;Full-time;Remoto;Estados Unidos;L
2020;Ingeniero de big data;Ingeniería de datos;USD;70000;70000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;L
2020;Analista líder de datos;Análisis de los datos;USD;87000;87000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2020;Científico de datos principal;Investigación y ciencia de datos;USD;190000;190000;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;S
2020;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;USD;250000;250000;Estados Unidos;Nivel Básico;Full-time;Híbrido;Estados Unidos;L
